Name,Author,Link,Publisher,Publishing/Release Date,Score /5,Status,Summary,Type
A Promised Land,Barack Husain Obama,https://www.goodreads.com/book/show/55361205-a-promised-land,Penguin Random House,"Nov 17, 2020",⭐️⭐️⭐️⭐️,Reading,"A riveting, deeply personal account of history in the making—from the president who inspired us to believe in the power of democracy",Non Fiction
10 Easy Ways to Boost Your Metabolism,,https://www.healthline.com/nutrition/10-ways-to-boost-metabolism#TOC_TITLE_HDR_1,,,⭐️⭐️⭐️⭐️,Finished,,Article
13 Fatigue-Fighting Hacks to Supercharge Your Mornings,,https://www.healthline.com/health/morning-fatigue-remedies,,,⭐️⭐️⭐️⭐️,Finished,,Article
26 Weight Loss Tips That Are Actually Evidence-Based,,https://www.healthline.com/nutrition/26-evidence-based-weight-loss-tips,,,⭐️⭐️⭐️⭐️,Finished,,Article
,,,,,,,,
