Case,Taxable Value
"Where such facility is maintained by employer and is not available uniformly to all employees ",Notional cost of such facility. ( Value at which such facility is offered to general public )
where the employee is on official tour and the expenses are incurrred in respect of any members of his household accompanying him,The amount of expenditure so incurred for the accompanying member of his household
Where an official tour is extended as a vacation,The value will be limited to the expenses incurred in relation to such extended period of stay or vacation
Any Other Case,Amount Incurred by the employer
