Asset Given,Value of Benefits
Use of laptops and computers,Nil
"Movable assets other than : 1. Laptop and computers and 2. Assets already specified ",10 p.a of the actual cost of such asset ot the amount of rent or charge paid or payable by the employer as the case may be
