Date,Topic,Paper,Status,Resource URL
26/09/2020 3:45-5:00,"Corporate Level Strategies ",7(B) Strategic Management,Not Started Yet,
26/09/2020 5:15-6:00,"Corporate Level Strategies ",7(B) Strategic Management,Not Started Yet,
26/09/2020 9:00-10:00,Automated Business Process,7(A) Enterprise Information Systems,Not Started Yet,
26/09/2020 10:30-11:30,"Automated Business Process ",7(A) Enterprise Information Systems,Not Started Yet,
26/09/2020 13:00-14:00,Equity Shares with differential rights,5. Advanced Accounting,Not Started Yet,
26/09/2020 15:15-16:00,Equity Shares with differential rights,5. Advanced Accounting,Not Started Yet,
26/09/2020 18:00-19:00,"Public Finance ",8(B) Economics for Finance,Not Started Yet,
