Date,Topic,Paper,Status,Resource URL
23/09/2020 5:00-3:45,Risk Assessment & Internal Construction,6. Auditing and Assurance,In Progress,
23/09/2020 6:00-5:15,"SA 200 Series ",6. Auditing and Assurance,Not Started Yet,
23/09/2020 9:00-10:00,Financial Ratios,8(A) Financial Management,Not Started Yet,
23/09/2020 10:30-11:30,Financial Ratios,8(A) Financial Management,Not Started Yet,
23/09/2020 13:00-14:00,"Leverages ",8(A) Financial Management,Not Started Yet,
23/09/2020 15:15-16:00,"Leverages ",8(A) Financial Management,Not Started Yet,
23/09/2020 18:00-19:00,The Money Market,8(B) Economics for Finance,Not Started Yet,
