Risk,Key IT Control
"Credit line setup is unauthorized and not in line with the banks policy ",The credit committee checks that the financial ratios the net worth the credit line offered and the credit amount etc. are in line with Credit Risk Policy and that the client can be given the credit line
"Credit line set up in CBS is unauthorized and not in line with banks policy ",Access rights to authorize the credit limit in case of account setup should be restricted to authorized personnel
"Customer Master defined in CBS  is not in accordance with Pre-Disbursement Certificate ",Access rights to authorize the Customer Master in CBS should be restricted to authorized personnel
Inaccurate charge / interest being calculated in Credit Card System,Interest on fund base credit card is automatically calculated in the Credit Card system as per defined rules.
"Credit Line setup can be breached ",Transaction cannot be made if the aggregate limit of outstanding amount exceeds the credit limit assigned to customers.
